state,bill_number,title,description,matched_keyword
CA,AB505,Multifamily Housing Program: Homekey: report.,"An act to add and repeal Section 50675.17 of the Health and Safety Code, relating to housing.",housing
CA,AB557,California Factory-Built Housing Law.,"An act to amend Section 19980 the Health and Safety Code, relating to housing.",housing
CA,AB590,Social Housing Bond Act of 2026.,"An act to add Part 16.1 (commencing with Section 54050) to Division 31 of the Health and Safety Code, relating to the Social Housing Bond Act of 2026, by providing the funds necessary therefor through an election for the issuance and sale of bonds of the State of California and for the handling and disposition of those funds, and declaring the urgency thereof, to take effect immediately.",housing
CA,AB595,Housing: Building Home Ownership for All Program.,"An act to add and repeal Section 12335 of the Government Code, relating to housing.",housing
CA,AB670,Planning and zoning: housing element: converted affordable housing units.,"An act to amend Section 65400 of, and to add Section 65400.3 to, the Government Code, relating to housing.",housing
CA,AB712,Housing reform laws: enforcement actions: fines and penalties.,"An act to add Section 65914.2 to the Government Code, relating to housing.",housing
CA,AB722,Reentry Housing and Workforce Development Program.,"An act to add Chapter 2.6 (commencing with Section 50480) to Part 2 of Division 31 of the Health and Safety Code, relating to housing.",housing
CA,AB736,The Affordable Housing Bond Act of 2026.,"An act to add Part 16.1 (commencing with Section 54050) to Division 31 of the Health and Safety Code, relating to housing, by providing the funds necessary therefor through an election for the issuance and sale of bonds of the State of California and for the handling and disposition of those funds, and declaring the urgency thereof, to take effect immediately.",housing
CA,AB748,Single-family and multifamily housing units: preapproved plans.,"An act to add Section 65852.29 to the Government Code, relating to housing.",housing
CA,AB893,Housing development projects: objective standards: campus development zone.,"An act to amend Sections 65912.101, 65912.104, 65912.114, 65912.121, 65912.122, 65912.123, and 65912.124 of, and to add Section 65912.103.5 to, the Government Code, relating to housing.",housing
CA,AB913,Housing programs: financing.,"An act to add Section 50406.4 to the Health and Safety Code, relating to housing.",housing
CA,AB920,Permit Streamlining Act: housing development projects: centralized application portal.,"An act to add Section 65940.3 to the Government Code, relating to housing.",housing
CA,AB939,Housing development: density bonuses: affordability of for-sale units.,"An act to amend Section 65915 of the Government Code, relating to housing.",housing
CA,AB945,Density Bonus Law: incentives and concessions: green housing developments.,"An act to add Section 65915.6 of the Government Code, relating to housing.",housing
CA,AB1021,Housing: local educational agencies.,"An act to amend Section 17391 of the Education Code, to amend Section 65914.7 of the Government Code, and to amend Section 21080.40 of the Public Resources Code, relating to housing.",housing
CA,AB1165,California Housing Justice Act of 2025.,"An act to add Chapter 4 (commencing with Section 50570) to Part 2 of Division 31 of the Health and Safety Code, relating to housing.",housing
CA,AB1197,Rental passenger vehicles: electronic surveillance technology: renter liability for loss due to theft.,"An act to amend Sections 1939.03 and 1939.23 of the Civil Code, relating to rental passenger vehicles.",rental
CA,AB1206,Single-family and multifamily housing units: preapproved plans.,"An act to add Section 65852.29 to the Government Code, relating to housing.",housing
CA,AB1212,University of California: faculty and employee housing.,"An act to add Part 14.4 (commencing with Section 53620) to Division 31 of the Health and Safety Code, relating to housing.",housing
CA,AB1276,"Housing developments: ordinances, policies, and standards.","An act to amend Section 65589.5 of, and to add Section 65958 to, the Government Code, relating to housing.",housing
CA,AB1294,Planning and zoning: housing development: standardized application form.,"An act to amend Sections 65589.5 and 65940.1 of, and to add Section 65941.2 to, the Government Code, relating to housing.",housing
CA,AB1308,Residential building permits: inspections: Housing Accountability Act.,"An act to amend Section 65589.5 of the Government Code, and to add Section 17970.3 to the Health and Safety Code, relating to housing.",housing
CA,AB1374,Rental passenger vehicle transactions: third parties.,"An act to amend Section 1939.19 of the Civil Code, relating to rental passenger vehicle transactions.",rental
CA,AB1381,California School Finance Authority: Educational Workforce Housing Revolving Loan Fund.,"An act to add Sections 17199.7, 17199.8, and 17199.9 to the Education Code, relating to housing.",housing
